ID,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Contacts_Count_13_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total
716210283,1,34,NA,B,High School,M,Unknown,Red,42,c,2,2,7,26330,946,10386,5793,0.857,3806,65,0.667,0.083,10918
711615933,1,44.5,M,D,Graduate,M,$80K - $120K,Red,36,c,3,4,9,5682.5,526,2547,1873.5,0.702,1944,55,0.618,0.171,5332
785311158,1,61,NA,C,Graduate,S,Less than $40K,Red,66,n,3,3,8,84290,2315,32201,16700.5,0.599,1805,46,0.704,0.067,4915
717267108,1,35.5,M,B,College,S,$60K - $80K,Red,22,n,3,3,8,11307.5,2301,3022,2111,0.68,1783,33,0.65,0.432,4849
711636558,0,29.5,M,D,Graduate,M,$80K - $120K,Red,42,c,1,0,5,20695,1501,7577,4388.5,0.51,1543,34,0.545,0.165,4129
717504258,0,37,M,C,College,M,$40K - $60K,Red,20,v,1,3,8,65572.5,1347,25682,13441,0.381,1302,27,0.421,0.05,3406
718242333,0,34,M,E,Graduate,S,$80K - $120K,Red,42,b,1,4,9,22647.5,1305,8554,4877,0.722,4345,72,0.674,0.132,12535
771844458,0,40,NA,D,Graduate,M,Unknown,Red,26,z,4,3,8,8065,243,3783,2491.5,0.738,1102,27,0.8,0.06,2806
708892833,0,35.5,M,C,Graduate,M,$120K +,Red,30,c,2,3,8,4520,1799,809,1004.5,0.732,2565,72,0.636,0.69,7195
779465358,0,19,NA,A,High School,S,Unknown,Red,-4,v,1,4,9,6880,2517,1035,1117.5,0.465,1342,26,1,0.709,3526
720191883,0,47.5,M,D,High School,S,$60K - $80K,Red,40,n,2,2,7,9532.5,1619,2994,2097,0.697,2328,62,0.722,0.351,6484
710934033,1,19,M,A,High School,S,Less than $40K,Red,-4,b,2,4,9,23965,1909,8477,4838.5,1.43,2119,52,1.08,0.184,5857
714473658,1,43,M,D,Graduate,S,$40K - $60K,Red,30,v,1,2,7,84290,1298,33218,17209,0.757,1906,39,0.773,0.038,5218
716569983,1,29.5,M,C,College,M,$80K - $120K,Red,42,b,2,3,8,4642.5,1611,1046,1123,0.599,2349,41,0.464,0.606,6547
789833583,1,65.5,NA,E,High School,M,$40K - $60K,Red,64,v,2,3,8,10577.5,1327,3704,2452,0.553,1433,34,0.889,0.264,3799
818923158,1,62.5,M,C,Graduate,M,$60K - $80K,Red,70,b,2,4,9,84290,787,33729,17464.5,0.763,1312,32,0.6,0.023,3436
716596308,1,40,M,D,Uneducated,S,$80K - $120K,Red,42,n,2,4,9,2030,835,777,988.5,0.588,2148,40,0.379,0.518,5944
716620458,1,28,M,B,High School,S,Less than $40K,Red,16,n,2,2,7,4057.5,1773,650,925,0.574,2038,64,0.362,0.732,5614
710251608,1,73,NA,B,High School,M,Less than $40K,Red,78,n,3,5,10,15850,0,7140,4170,0.401,916,18,0.2,0,2248
710633808,1,19,M,A,Graduate,S,$60K - $80K,Red,-4,c,3,2,7,6442.5,948,2429,1814.5,0.461,1407,44,0.467,0.281,3721
719318583,1,35.5,M,D,High School,M,Less than $40K,Red,22,z,3,4,9,84290,2408,32108,16654,0.796,1187,40,0.6,0.07,3061
819202533,1,65.5,M,B,Doctorate,M,$80K - $120K,Red,74,v,3,2,7,3737.5,0,2295,1747.5,0.699,3292,62,0.824,0,9376
827360883,1,50.5,NA,D,High School,M,Unknown,Red,56,c,3,2,7,5875,1543,1607,1403.5,0.998,3432,71,0.972,0.49,9796
771196083,1,50.5,M,E,Graduate,M,$80K - $120K,Red,38,c,2,5,10,3412.5,1135,1030,1115,0.707,1541,33,0.833,0.524,4123
809962908,1,52,NA,C,Graduate,S,Unknown,Red,56,c,2,4,9,8622.5,1562,2687,1943.5,0.773,1881,49,0.815,0.368,5143
788965683,0,53.5,NA,E,Uneducated,M,Less than $40K,Red,42,n,1,3,8,5415,1433,1533,1366.5,0.49,1986,50,0.613,0.483,5458
817142433,0,32.5,M,D,Graduate,M,$80K - $120K,Red,10,n,3,2,7,2030,744,868,1034,0.636,1564,33,0.5,0.462,4192
716993058,0,65.5,M,D,Unknown,D,$60K - $80K,Red,66,c,1,3,8,34482.5,1504,13089,7144.5,0.668,3447,72,0.895,0.103,9841
771040758,0,73,NA,A,Graduate,S,Unknown,Purple,68,n,3,2,7,18817.5,1551,6776,3988,0.463,4428,82,0.822,0.186,12784
713309583,0,62.5,NA,C,College,M,Less than $40K,Red,42,n,1,2,7,84290,1580,32936,17068,0.707,4149,86,0.755,0.046,11947
710273658,0,34,M,C,Graduate,M,$60K - $80K,Red,4,n,1,2,7,14197.5,1393,5086,3143,0.468,1618,47,0.958,0.215,4354
771429408,0,61,M,B,High School,M,$80K - $120K,Red,54,v,1,3,8,44105,1470,16972,9086,0.491,1281,36,0.8,0.08,3343
719452308,0,25,NA,A,Graduate,M,Less than $40K,Red,16,b,3,2,7,5000,2517,283,741.5,0.816,1994,41,0.64,0.899,5482
818908833,0,49,M,D,Graduate,M,$40K - $60K,Red,52,n,2,3,8,5580,2215,817,1008.5,0.408,1387,30,0.579,0.731,3661
780998133,0,44.5,M,D,Graduate,M,$80K - $120K,Red,38,n,3,3,8,3377.5,1338,813,1006.5,0.926,3446,58,1,0.622,9838
801726933,1,31,M,C,Graduate,M,$120K +,Red,26,n,3,2,7,58182.5,1084,22989,12094.5,0.847,1341,37,1.176,0.045,3523
788474658,1,62.5,M,D,Graduate,M,$80K - $120K,Red,66,v,2,3,8,61792.5,321,25196,13198,0.769,2508,44,0.294,0.013,7024
708438033,1,34,NA,C,Unknown,M,Less than $40K,Red,24,c,1,2,7,17272.5,2227,5482,3341,1.295,2520,61,0.848,0.289,7060
710562258,1,46,M,B,Graduate,M,$80K - $120K,Red,36,c,3,1,6,8162.5,2180,1885,1542.5,0.321,1271,36,0.2,0.536,3313
770764908,1,38.5,M,C,Unknown,M,$60K - $80K,Red,20,c,2,4,9,30922.5,1499,11670,6435,0.603,4370,83,0.537,0.114,12610
814776033,1,31,M,C,Graduate,S,$80K - $120K,Red,28,c,2,2,7,27527.5,2508,9303,5251.5,0.476,1469,29,0.812,0.212,3907
715057383,1,40,M,D,Graduate,M,$60K - $80K,Red,32,c,6,1,6,16600,704,6736,3968,0.551,2251,63,0.537,0.095,6253
717970158,0,43,M,C,College,S,$60K - $80K,Red,42,b,1,2,7,29785,976,11738,6469,0.649,2240,53,0.395,0.077,6220
715168008,0,34,M,D,Graduate,D,$40K - $60K,Red,26,b,1,3,8,7337.5,1978,1757,1478.5,0.675,1749,41,0.577,0.53,4747
720802833,0,19,NA,B,High School,S,Less than $40K,Red,-4,c,1,4,9,62705,1699,24183,12691.5,0.428,1736,48,0.371,0.066,4708
789370383,0,43,M,B,High School,M,$40K - $60K,Red,34,v,3,1,6,7692.5,1495,2382,1791,0.783,1942,42,0.75,0.386,5326
711782733,1,62.5,M,A,Graduate,M,$40K - $60K,Red,42,v,3,0,5,6200,1806,1474,1337,0.963,2534,78,0.95,0.551,7102
709000008,1,47.5,M,D,Unknown,S,$80K - $120K,Red,44,b,1,3,8,25557.5,0,11023,6111.5,0.539,1656,41,0.367,0,4468
719381733,1,71.5,M,C,High School,S,$60K - $80K,Red,64,v,2,2,7,13455,1131,5051,3125.5,0.566,3546,63,0.615,0.183,10138
771169458,1,41.5,M,E,College,M,$120K +,Red,26,c,3,4,9,3465,1185,1001,1100.5,0.998,2614,67,0.861,0.542,7342
709974108,1,32.5,NA,B,Graduate,S,Less than $40K,Red,16,c,1,0,5,42990,864,17132,9166,0.597,1589,30,0.667,0.048,4267
757024233,1,31,M,C,Graduate,S,$120K +,Red,24,n,2,3,8,3765,2200,106,653,0.697,2097,57,0.541,0.954,5791
768928833,1,35.5,M,C,High School,M,$80K - $120K,Red,32,v,3,4,9,64390,1583,24973,13086.5,0.694,3168,73,0.738,0.06,9004
