,ID,Attrition_Flag,Customer_Age,Gender,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Contacts_Count_13_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Total,College,Doctorate,Graduate,High School,Post-Graduate,Post-NA,Uneducated,$120K +,$40K - $60K,$60K - $80K,$80K - $120K,Less than $40K,D,M,S,U,Purple,Rainbow,Red,A,B,C,D,E,F,b,c,n,v,x,z
0,708868233,1.0,82.0,0,74,2,3,8,14285.0,2258,4256.0,2728.0,0.785,1383,20,1.857,0.347,3649,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,719808558,1.0,62.5,1,56,1,0,5,10770.0,1656,3452.0,2326.0,0.711,1631,41,0.323,0.324,4393,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,711551958,1.0,68.5,0,62,1,1,6,3180.0,1543,529.0,864.5,0.486,1265,32,0.391,0.745,3295,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
3,772336458,1.0,70.0,1,70,3,2,7,47607.5,1178,18665.0,9932.5,0.909,1638,49,0.633,0.059,4414,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
4,720997383,1.0,58.0,0,42,1,0,5,62142.5,2216,23441.0,12320.5,0.856,1121,25,0.667,0.086,2863,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
5,710299608,1.0,59.5,1,36,1,1,6,64092.5,1472,24965.0,13082.5,0.742,1244,36,0.5,0.056,3232,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6,821797008,1.0,53.5,0,60,1,2,7,5840.0,1864,1272.0,1236.0,0.693,1036,25,0.25,0.594,2608,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
7,708874533,1.0,47.5,1,42,3,2,7,15440.0,0,6976.0,4088.0,0.519,1217,39,1.438,0.0,3151,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8,712125258,1.0,49.0,0,30,3,3,8,22897.5,1890,8069.0,4634.5,1.043,2041,45,0.875,0.19,5623,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
9,772390908,1.0,68.5,0,66,3,3,8,8212.5,2238,1847.0,1523.5,0.568,596,15,0.5,0.548,1288,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
10,778867533,1.0,68.5,1,50,2,2,7,5410.0,2400,564.0,882.0,1.296,1557,25,1.778,0.81,4171,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
11,771809733,1.0,76.0,1,76,1,2,7,52242.5,2144,19553.0,10376.5,0.654,2117,48,0.655,0.099,5851,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
12,719211558,1.0,47.5,0,42,1,2,7,20475.0,0,8990.0,5095.0,0.935,747,19,0.583,0.0,1741,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
13,718621608,1.0,61.0,1,58,2,2,7,43212.5,1487,16598.0,8899.0,0.792,1582,47,1.043,0.082,4246,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
14,720272958,1.0,52.0,0,42,3,2,7,6280.0,0,3312.0,2256.0,0.698,647,19,0.462,0.0,1441,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
15,709173108,1.0,61.0,1,50,1,3,8,7720.0,1663,2225.0,1712.5,0.664,1145,37,0.423,0.428,2935,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
16,708330858,1.0,65.5,0,46,3,1,6,16685.0,0,7474.0,4337.0,0.858,732,21,0.615,0.0,1696,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
17,709278258,1.0,61.0,0,58,2,2,7,15627.5,0,7051.0,4125.5,0.527,1451,37,0.194,0.0,3853,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
18,714871683,1.0,67.0,0,42,2,2,7,64875.0,1204,25546.0,13373.0,0.428,1131,29,0.318,0.045,2893,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
19,708288108,1.0,44.5,0,30,3,1,6,5362.5,2206,739.0,969.5,0.983,1503,35,0.842,0.749,4009,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
20,717354558,1.0,65.5,0,50,2,0,5,84290.0,1901,32615.0,16907.5,0.914,1497,43,1.15,0.055,3991,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
21,714639783,1.0,43.0,0,38,3,1,6,40170.0,0,16868.0,9034.0,0.938,940,25,0.471,0.0,2320,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
22,778868958,1.0,43.0,1,16,2,0,5,7337.5,1176,2559.0,1879.5,1.184,1564,41,0.708,0.315,4192,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
23,710940183,1.0,53.5,1,46,3,3,8,1595.75,681,757.3,978.65,1.542,2730,48,0.778,0.473,7690,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
24,709547658,1.0,38.5,0,42,3,3,8,21802.5,1669,7852.0,4526.0,1.308,2444,63,0.4,0.175,6832,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
25,712159083,1.0,67.0,1,62,2,1,6,26985.0,2072,9522.0,5361.0,0.983,2320,51,0.594,0.179,6460,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26,711791583,1.0,58.0,1,50,1,2,7,4952.5,1035,1746.0,1473.0,0.816,1707,42,1.211,0.372,4621,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
27,712315683,1.0,59.5,1,60,3,2,7,60200.0,836,24044.0,12622.0,0.701,1208,25,1.083,0.034,3124,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
28,789842283,1.0,61.0,0,54,3,3,8,21010.0,845,8359.0,4779.5,0.673,1820,58,0.611,0.092,4960,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
29,719418933,1.0,59.5,0,42,1,3,8,37760.0,1024,14880.0,8040.0,0.369,1433,33,0.5,0.064,3799,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,781794708,1.0,32.5,0,28,3,2,7,4215.0,1464,1022.0,1111.0,0.731,1378,27,0.421,0.589,3634,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
31,714272658,1.0,44.5,1,18,1,3,8,50945.0,1796,19382.0,10291.0,1.182,1872,59,1.107,0.085,5116,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
32,767294658,1.0,64.0,0,70,1,3,8,8532.5,997,3216.0,2208.0,0.668,1264,30,0.667,0.237,3292,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
33,708241233,1.0,58.0,1,64,5,3,8,44282.5,2517,15996.0,8598.0,0.524,1567,33,0.941,0.136,4201,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
34,716223708,1.0,47.5,1,42,3,2,7,5130.0,736,2116.0,1658.0,0.386,1382,40,0.29,0.258,3646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
35,719443683,1.0,55.0,0,48,1,2,7,15152.5,1598,5263.0,3231.5,2.103,2228,39,0.95,0.233,6184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
36,779610033,1.0,67.0,0,64,3,3,8,16180.0,2037,5235.0,3217.5,0.795,2333,56,0.697,0.28,6499,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
37,709345008,1.0,59.5,1,48,2,2,7,30390.0,0,12956.0,7078.0,1.053,2492,56,0.931,0.0,6976,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
38,721417233,1.0,47.5,0,20,3,2,7,3482.5,1260,933.0,1066.5,0.886,1799,47,0.567,0.575,4897,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
39,769137108,1.0,44.5,1,44,1,3,8,1780.0,810,702.0,951.0,1.294,2558,44,0.571,0.536,7174,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
40,717640083,1.0,68.5,0,42,3,4,9,84290.0,733,33783.0,17491.5,1.229,3018,60,0.538,0.021,8554,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
41,794977533,1.0,73.0,0,82,1,4,9,8220.0,1557,2531.0,1865.5,1.248,2250,39,0.857,0.381,6250,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
42,752604633,1.0,65.5,0,70,2,2,7,3632.5,1667,586.0,893.0,0.884,1641,45,0.667,0.74,4423,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
43,711242058,1.0,52.0,0,42,3,3,8,12252.5,2517,3184.0,2192.0,0.716,961,32,0.524,0.442,2383,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
44,718121658,1.0,64.0,0,58,2,3,8,5247.5,1999,900.0,1050.0,0.832,1687,35,0.591,0.69,4561,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
45,711593808,1.0,62.5,0,62,1,3,8,5430.0,2160,812.0,1006.0,0.956,2552,62,0.676,0.727,7156,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
46,718731183,1.0,71.5,0,68,3,2,7,4157.5,1751,712.0,956.0,0.854,2171,58,0.758,0.711,6013,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
47,713865333,1.0,47.5,1,46,2,4,9,60645.0,1710,23348.0,12274.0,0.613,2053,55,0.528,0.068,5659,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
48,797707008,1.0,46.0,1,46,2,2,7,16545.0,396,7022.0,4111.0,0.826,911,26,1.0,0.053,2233,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
49,720370533,1.0,62.5,0,58,1,4,9,9405.0,1721,2841.0,2020.5,0.896,1896,50,1.5,0.377,5188,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
50,718675158,1.0,62.5,1,42,2,3,8,1945.0,760,818.0,1009.0,0.709,2017,43,0.955,0.482,5551,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
51,720605808,1.0,59.5,1,42,1,3,8,20202.5,2145,6736.0,3968.0,0.705,2027,49,0.815,0.242,5581,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
52,770724558,1.0,43.0,0,26,3,4,9,23617.5,1600,8647.0,4923.5,0.63,1754,44,0.692,0.156,4762,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
53,719309958,1.0,62.5,0,40,1,4,9,80955.0,1997,31185.0,16192.5,0.755,1630,43,0.87,0.06,4390,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
